"Product2ID"	"PriceBook2ID"	UnitPrice	IsActive
"01tIS000001dxXKYAY"	"01sIS000002mzhRYAQ"	20.00	true
"01tIS000001dxXLYAY"	"01sIS000002mzhRYAQ"	6.00	true
"01tIS000001dxXMYAY"	"01sIS000002mzhRYAQ"	5.00	true
"01tIS000001dxXNYAY"	"01sIS000002mzhRYAQ"	3.00	true
"01tIS000001dxXOYAY"	"01sIS000002mzhRYAQ"	20.00	true
"01tIS000001dxXPYAY"	"01sIS000002mzhRYAQ"	6.00	true
"01tIS000001dxXQYAY"	"01sIS000002mzhRYAQ"	5.00	true
"01tIS000001dxXRYAY"	"01sIS000002mzhRYAQ"	3.00	true
"01tIS000001dxXSYAY"	"01sIS000002mzhRYAQ"	10.00	true
"01tIS000001dxXTYAY"	"01sIS000002mzhRYAQ"	6.00	true
"01tIS000001dxXUYAY"	"01sIS000002mzhRYAQ"	2.50	true
"01tIS000001dxXVYAY"	"01sIS000002mzhRYAQ"	3.00	true
